week,date,topic,reading,slides,assessment,other
0,28-Mar,Getting Ready for STATS 6,,,assessment00.qmd,
1,30-Mar,Introduction to the Toolkit,reading01a.qmd,week01/1a-intro-toolkit.html,,
1,1-Apr,Describing Data with Numbers,reading01b.qmd,week01/1b-describe-data.html,,
2,6-Apr,Data Visualization,reading02a.qmd,week02/2a-data-viz.html,,
2,8-Apr,Accessible Data Visualizations,reading02b.qmd,week02/2b-access-data-viz.html,,
3,13-Apr,Data Wrangling Part 1,reading03a.qmd,week03/3a-data-wrangling1.html,,
3,15-Apr,Data Wrangling Part 2,reading03b.qmd,week03/3b-data-wrangling2.html,,
4,20-Apr,Good Workflow Practices,reading04a.qmd,week04/4a-reproducible-workflow.html,,
4,22-Apr,"Working with Strings, Dates, and Factors",reading04b.qmd,week04/4b-strings-dates-factors.html,,
5,27-Apr,Web Scraping,,week05/5a-web-scrape.html,,
5,29-Apr,Midterm in class,,,,
